ab	from, off	Die Fahrt kostet ab Hamburg 200 Euro.	The journey costs 200 Euro from Hamburg.
abbiegen, biegt ab, bog ab, ist abgebogen	to turn off, bend	An der nächsten Kreuzung müssen Sie links abbiegen.	At the next junction you have to turn left.
die Abbildung, -en	Illustration	Hier in der Abbildung sehen Sie, wie man das Gerät einschaltet.	Here you can see how to turn on the device.
aber	but	Heute kann ich nicht, aber morgen ganz bestimmt.	I can not today, but certainly tomorrow.
der Abfall, -"e	waste, rubbish, garbage	Werfen Sie den Bioabfall in die grüne Tonne.	Throw the bio-waste into the green bin.
das Abgas, -e	exhaust, waste gas	Abgase aus Industrie und Haushalten verschmutzen die Luft.	Exhaust gases from industry and households pollute the air.
abgeben, gibt ab, gab ab, hat abgegeben	to hand in	Ich soll dieses Päckchen bei Herrn Müller abgeben.	I should hand over this package to Mr. Müller.
abhängen, hängt ab, hing ab, hat abgehangen	to take down, uncouple, depend upon	Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.	Maybe we stay a few days longer, it depends on the weather.
abhängig	dependent on	Gregor ist finanziell von seinen Eltern abhängig.	Gregor is financially dependent on his parents.
abheben, hebt ab, hob ab, hat abgehoben	to lift (up)	Für die Reise habe ich 500 Euro von meinem Konto abgehoben.	For the trip, I have lifted 500 € from my account.
abholen, holt ab, holte ab, hat abgeholt	to pick up (from a place)	Meine Freundin hat mich vom Bahnhof abgeholt.	My girlfriend picked me up from the train station.
das Abitur (Sg.)	school graduation exam	Meine Tochter hat gerade Abitur gemacht.	My daughter just graduated from high school.
abmachen, macht ab, machte ab, hat abgemacht	to take off, agree	Wir hatten doch abgemacht, dass du die Getränke besorgst.	We had agreed that you get the drinks.
das Abonnement, -s	subscription	Ich habe das Abonnement gekündigt.	I have canceled the subscription.
der Abschluss, -"sse	school graduation or result	Ein guter Schulabschluss ist sehr wichtig.	A good education is very important.
der Absender, -	sender	Schicken Sie das Päckchen an den Absender zurück.	Send the parcel back to the sender.
die Absicht, -en	intention	Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.	Excuse me please. My daughter did not do that on purpose.
absolut	absolute	Was Sie da sagen, ist absolut falsch.	What you say is absolutely wrong.
die Abteilung, -en	Department	Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.	My girlfriend works in the department of Mrs. Kaufmann.
ach	Oh	Sie sind krank? Ach, das tut mir aber leid.	You are sick? Oh, I'm sorry.
achten auf, achtet, achtete, hat geachtet	to pay attention (to)	Achten Sie bitte darauf, dass abends immer alle Fenster geschlossen sind.	Please make sure that all windows are closed in the evening.
die Achtung (Sg.)	Danger, Attention	Achtung, hier endet die Straße!	Attention, the road ends here!
die Adresse, -n	address	Hast du schon meine neue Adresse?	Do you already have my new address?
die Agentur, -en	Agency	Ich habe einen Brief von der Agentur für Arbeit bekommen.	I got a letter from the employment agency.
ähnlich	similar	Oleg sieht seinem Bruder sehr ähnlich.	Oleg looks very much like his brother.
aha	Aha	Ich gehe bald in Rente. - Aha, dann haben Sie ja viel Zeit für Ihre Hobbys.	I'm retiring soon. - Aha, then you have a lot of time for your hobbies.
die Ahnung, -en	idea, suspicion	Ich hatte keine Ahnung, dass du heute Geburtstag hast.	I had no idea that you have a birthday today.
die Aktion, -en	action	Die Regierung plant eine Aktion gegen das Rauchen.	The government is planning an action against smoking.
aktiv	active	Ich bin sehr aktiv und mache viel Sport.	I am very active and do a lot of sports.
die Aktivität, -en	activity	In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.	During the holidays, the city offers various leisure activities for children.
aktuell	current (now)	Umweltschutz ist ein aktuelles Thema.	Environmental protection is a current topic.
der Alarm, -e	alarm	Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.	In case of fire alarm you are not allowed to use the lifts.
der Alkohol, -e	alcohol	Du musst die Wunde mit Alkohol reinigen.	You have to clean the wound with alcohol.
